,IdAtleta,AnoEdicao,IdModalidade,Altura,Peso,Medalha
0,3,2012,187,170.0,60.0,-
1,17088,2000,55,172.0,70.0,-
2,24384,2000,241,159.0,55.5,-
3,34337,2000,28,189.0,130.0,-
4,28812,2008,182,163.0,-,Gold
5,2357,2016,349,170.0,125.0,-
6,10973,2000,358,187.0,89.0,-
7,10973,2004,358,187.0,89.0,-
8,27955,2000,213,189.0,72.0,-
9,14513,2012,6,187.0,76.0,-
10,32763,2000,267,194.0,78.0,-
11,32763,2000,271,194.0,78.0,-
12,77,2012,75,-,64.0,-
13,24888,2004,47,168.0,65.0,-
14,24888,2008,47,168.0,65.0,-
15,26529,2016,169,167.0,64.0,-
16,26529,2016,166,167.0,64.0,-
17,26529,2016,170,167.0,64.0,-
18,26529,2016,167,167.0,64.0,-
19,26529,2016,172,167.0,64.0,-
20,26529,2016,171,167.0,64.0,-
21,33520,2000,309,172.0,58.0,-
22,3333,2016,17,170.0,65.0,-
23,11710,2016,210,198.0,90.0,Bronze
24,16408,2008,151,194.0,87.0,Bronze
25,27544,2016,313,165.0,49.0,Bronze
26,22484,2008,47,179.0,80.0,Silver
27,22484,2012,47,179.0,80.0,-
28,27305,2000,267,178.0,76.0,-
29,27305,2000,275,178.0,76.0,-
30,33541,2008,63,185.0,72.0,-
31,15412,2000,131,167.0,65.0,-
32,1074,2004,94,180.0,83.0,-
33,1074,2008,94,180.0,83.0,Gold
34,20570,2008,181,182.0,86.0,Gold
35,20570,2012,181,182.0,86.0,Gold
36,20570,2016,181,182.0,86.0,Silver
37,21579,2012,217,182.0,73.0,-
38,11693,2004,151,178.0,70.0,-
39,16595,2000,160,185.0,82.0,Gold
40,11426,2004,160,190.0,77.0,-
41,9696,2000,317,183.0,75.0,-
42,32889,2004,353,165.0,55.0,Silver
43,33572,2004,127,163.0,60.0,Silver
44,33572,2004,118,163.0,60.0,-
45,9500,2012,9,190.0,80.0,-
46,13476,2008,160,180.0,73.0,-
47,16044,2004,181,190.0,85.0,-
48,16044,2008,181,190.0,85.0,Gold
49,11392,2004,49,155.0,43.0,-
50,5475,2004,8,168.0,60.0,-
51,13659,2012,79,175.0,75.0,-
52,13659,2016,77,175.0,75.0,-
53,481,2000,214,188.0,96.0,Gold
54,210,2016,15,175.0,66.0,-
55,4219,2004,160,175.0,80.0,-
56,21183,2000,114,165.0,65.0,-
57,24747,2004,268,170.0,70.0,-
58,25200,2004,341,173.0,77.0,-
59,32423,2000,184,178.0,80.0,-
60,32423,2004,184,178.0,80.0,-
61,32423,2012,184,178.0,80.0,-
62,31721,2004,184,165.0,60.0,-
63,31721,2008,184,165.0,60.0,-
64,31721,2012,184,165.0,60.0,-
65,32621,2012,221,173.0,60.0,-
66,30266,2008,8,181.0,74.0,-
67,34853,2008,279,182.0,76.0,-
68,34722,2000,343,159.0,53.0,-
69,32215,2012,333,171.0,64.0,-
